team_name,state,team_id,season_id,event_id,tournament_id,source_tournament,event_matches_url_without_session
Buffalo,NY,758779150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758779150
Cal Poly,CA,758780150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758780150
California Baptist,CA,758781150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758781150
Campbell,NC,758782150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758782150
Central Michigan,MI,758786150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758786150
Chattanooga,TN,758790150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758790150
Columbia,NY,758800150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758800150
Cornell,NY,758803150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758803150
CSU Bakersfield,CA,758805150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758805150
Davidson,NC,758806150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758806150
Drexel,PA,758808150,1560238138,8710102132,931299132,2026 NCAA Division I Championships,https://www.trackwrestling.com/seasons/EventMatches.jsp?seasonId=1560238138&eventId=8710102132&teamId=758808150
